plane_id,cell_id,analyte,q_m_d,area_m2,C_ug_L,Md_g_d,value_basis,formula
CP1,CP1_C04,PFOA,0.03,1200.0,0.3,0.010799999999999999,derived from synthetic central-case archive,Md_g_d = C_ug_L * K_m_d * gradient * area_m2 * 1e-3
CP1,CP1_C04,PFBA,0.03,1200.0,1.2,0.043199999999999995,derived from synthetic central-case archive,Md_g_d = C_ug_L * K_m_d * gradient * area_m2 * 1e-3
CP1,CP1_C04,PFBS,0.03,1200.0,0.4,0.014400000000000001,derived from synthetic central-case archive,Md_g_d = C_ug_L * K_m_d * gradient * area_m2 * 1e-3
CP1,CP1_C04,FTS_6_2,0.03,1200.0,0.6,0.021599999999999998,derived from synthetic central-case archive,Md_g_d = C_ug_L * K_m_d * gradient * area_m2 * 1e-3
CP2,CP2_C01,PFOS,0.002,1200.0,0.2,0.00048000000000000007,derived from synthetic central-case archive,Md_g_d = C_ug_L * K_m_d * gradient * area_m2 * 1e-3
CP2,CP2_C01,PFHxS,0.002,1200.0,0.05,0.00012000000000000002,derived from synthetic central-case archive,Md_g_d = C_ug_L * K_m_d * gradient * area_m2 * 1e-3
CP2,CP2_C01,PFOA,0.002,1200.0,0.04,9.6e-05,derived from synthetic central-case archive,Md_g_d = C_ug_L * K_m_d * gradient * area_m2 * 1e-3
CP2,CP2_C01,PFBA,0.002,1200.0,0.2,0.00048000000000000007,derived from synthetic central-case archive,Md_g_d = C_ug_L * K_m_d * gradient * area_m2 * 1e-3
CP2,CP2_C01,PFBS,0.002,1200.0,0.08,0.000192,derived from synthetic central-case archive,Md_g_d = C_ug_L * K_m_d * gradient * area_m2 * 1e-3
CP2,CP2_C01,FTS_6_2,0.002,1200.0,0.02,4.8e-05,derived from synthetic central-case archive,Md_g_d = C_ug_L * K_m_d * gradient * area_m2 * 1e-3
CP2,CP2_C02,PFOS,0.03,1200.0,2.0,0.07200000000000001,derived from synthetic central-case archive,Md_g_d = C_ug_L * K_m_d * gradient * area_m2 * 1e-3
CP2,CP2_C02,PFHxS,0.03,1200.0,0.55,0.0198,derived from synthetic central-case archive,Md_g_d = C_ug_L * K_m_d * gradient * area_m2 * 1e-3
CP2,CP2_C02,PFOA,0.03,1200.0,0.35,0.012599999999999998,derived from synthetic central-case archive,Md_g_d = C_ug_L * K_m_d * gradient * area_m2 * 1e-3
CP2,CP2_C02,PFBA,0.03,1200.0,1.5,0.054,derived from synthetic central-case archive,Md_g_d = C_ug_L * K_m_d * gradient * area_m2 * 1e-3
CP2,CP2_C02,PFBS,0.03,1200.0,0.5,0.018000000000000002,derived from synthetic central-case archive,Md_g_d = C_ug_L * K_m_d * gradient * area_m2 * 1e-3
CP2,CP2_C02,FTS_6_2,0.03,1200.0,0.3,0.010799999999999999,derived from synthetic central-case archive,Md_g_d = C_ug_L * K_m_d * gradient * area_m2 * 1e-3
CP2,CP2_C03,PFOS,0.03,1200.0,5.0,0.18,derived from synthetic central-case archive,Md_g_d = C_ug_L * K_m_d * gradient * area_m2 * 1e-3
CP2,CP2_C03,PFHxS,0.03,1200.0,1.5,0.054,derived from synthetic central-case archive,Md_g_d = C_ug_L * K_m_d * gradient * area_m2 * 1e-3
CP2,CP2_C03,PFOA,0.03,1200.0,0.75,0.027,derived from synthetic central-case archive,Md_g_d = C_ug_L * K_m_d * gradient * area_m2 * 1e-3
CP2,CP2_C03,PFBA,0.03,1200.0,2.0,0.07200000000000001,derived from synthetic central-case archive,Md_g_d = C_ug_L * K_m_d * gradient * area_m2 * 1e-3
CP2,CP2_C03,PFBS,0.03,1200.0,0.7,0.025199999999999997,derived from synthetic central-case archive,Md_g_d = C_ug_L * K_m_d * gradient * area_m2 * 1e-3
CP2,CP2_C03,FTS_6_2,0.03,1200.0,0.8,0.028800000000000003,derived from synthetic central-case archive,Md_g_d = C_ug_L * K_m_d * gradient * area_m2 * 1e-3
CP2,CP2_C04,PFOS,0.024,1200.0,1.0,0.028800000000000003,derived from synthetic central-case archive,Md_g_d = C_ug_L * K_m_d * gradient * area_m2 * 1e-3
CP2,CP2_C04,PFHxS,0.024,1200.0,0.3,0.00864,derived from synthetic central-case archive,Md_g_d = C_ug_L * K_m_d * gradient * area_m2 * 1e-3
CP2,CP2_C04,PFOA,0.024,1200.0,0.15,0.00432,derived from synthetic central-case archive,Md_g_d = C_ug_L * K_m_d * gradient * area_m2 * 1e-3
CP2,CP2_C04,PFBA,0.024,1200.0,0.8,0.02304,derived from synthetic central-case archive,Md_g_d = C_ug_L * K_m_d * gradient * area_m2 * 1e-3
CP2,CP2_C04,PFBS,0.024,1200.0,0.25,0.007200000000000001,derived from synthetic central-case archive,Md_g_d = C_ug_L * K_m_d * gradient * area_m2 * 1e-3
CP2,CP2_C04,FTS_6_2,0.024,1200.0,0.15,0.00432,derived from synthetic central-case archive,Md_g_d = C_ug_L * K_m_d * gradient * area_m2 * 1e-3
CP3,CP3_C01,PFOS,0.005,1200.0,0.05,0.0003,derived from synthetic central-case archive,Md_g_d = C_ug_L * K_m_d * gradient * area_m2 * 1e-3
CP3,CP3_C01,PFHxS,0.005,1200.0,0.01,6.000000000000001e-05,derived from synthetic central-case archive,Md_g_d = C_ug_L * K_m_d * gradient * area_m2 * 1e-3
CP3,CP3_C01,PFOA,0.005,1200.0,0.01,6.000000000000001e-05,derived from synthetic central-case archive,Md_g_d = C_ug_L * K_m_d * gradient * area_m2 * 1e-3
CP3,CP3_C01,PFBA,0.005,1200.0,0.12,0.0007199999999999999,derived from synthetic central-case archive,Md_g_d = C_ug_L * K_m_d * gradient * area_m2 * 1e-3
CP3,CP3_C01,PFBS,0.005,1200.0,0.05,0.0003,derived from synthetic central-case archive,Md_g_d = C_ug_L * K_m_d * gradient * area_m2 * 1e-3
CP3,CP3_C01,FTS_6_2,0.005,1200.0,0.0,0.0,derived from synthetic central-case archive,Md_g_d = C_ug_L * K_m_d * gradient * area_m2 * 1e-3
CP3,CP3_C02,PFOS,0.005,1200.0,0.4,0.0024,derived from synthetic central-case archive,Md_g_d = C_ug_L * K_m_d * gradient * area_m2 * 1e-3
CP3,CP3_C02,PFHxS,0.005,1200.0,0.1,0.0006,derived from synthetic central-case archive,Md_g_d = C_ug_L * K_m_d * gradient * area_m2 * 1e-3
CP3,CP3_C02,PFOA,0.005,1200.0,0.08,0.00048000000000000007,derived from synthetic central-case archive,Md_g_d = C_ug_L * K_m_d * gradient * area_m2 * 1e-3
CP3,CP3_C02,PFBA,0.005,1200.0,0.6,0.0036000000000000003,derived from synthetic central-case archive,Md_g_d = C_ug_L * K_m_d * gradient * area_m2 * 1e-3
CP3,CP3_C02,PFBS,0.005,1200.0,0.2,0.0012,derived from synthetic central-case archive,Md_g_d = C_ug_L * K_m_d * gradient * area_m2 * 1e-3
CP3,CP3_C02,FTS_6_2,0.005,1200.0,0.04,0.00024000000000000003,derived from synthetic central-case archive,Md_g_d = C_ug_L * K_m_d * gradient * area_m2 * 1e-3
CP3,CP3_C03,PFOS,0.005,1200.0,1.0,0.006,derived from synthetic central-case archive,Md_g_d = C_ug_L * K_m_d * gradient * area_m2 * 1e-3
CP3,CP3_C03,PFHxS,0.005,1200.0,0.25,0.0015,derived from synthetic central-case archive,Md_g_d = C_ug_L * K_m_d * gradient * area_m2 * 1e-3
CP3,CP3_C03,PFOA,0.005,1200.0,0.15,0.0009000000000000001,derived from synthetic central-case archive,Md_g_d = C_ug_L * K_m_d * gradient * area_m2 * 1e-3
CP3,CP3_C03,PFBA,0.005,1200.0,0.7,0.0042,derived from synthetic central-case archive,Md_g_d = C_ug_L * K_m_d * gradient * area_m2 * 1e-3
CP3,CP3_C03,PFBS,0.005,1200.0,0.25,0.0015,derived from synthetic central-case archive,Md_g_d = C_ug_L * K_m_d * gradient * area_m2 * 1e-3
CP3,CP3_C03,FTS_6_2,0.005,1200.0,0.08,0.00048000000000000007,derived from synthetic central-case archive,Md_g_d = C_ug_L * K_m_d * gradient * area_m2 * 1e-3
CP3,CP3_C04,PFOS,0.004,1200.0,0.3,0.0014399999999999999,derived from synthetic central-case archive,Md_g_d = C_ug_L * K_m_d * gradient * area_m2 * 1e-3
CP3,CP3_C04,PFHxS,0.004,1200.0,0.08,0.000384,derived from synthetic central-case archive,Md_g_d = C_ug_L * K_m_d * gradient * area_m2 * 1e-3
CP3,CP3_C04,PFOA,0.004,1200.0,0.05,0.00024000000000000003,derived from synthetic central-case archive,Md_g_d = C_ug_L * K_m_d * gradient * area_m2 * 1e-3
CP3,CP3_C04,PFBA,0.004,1200.0,0.4,0.0019200000000000003,derived from synthetic central-case archive,Md_g_d = C_ug_L * K_m_d * gradient * area_m2 * 1e-3
CP3,CP3_C04,PFBS,0.004,1200.0,0.12,0.0005760000000000001,derived from synthetic central-case archive,Md_g_d = C_ug_L * K_m_d * gradient * area_m2 * 1e-3
CP3,CP3_C04,FTS_6_2,0.004,1200.0,0.02,9.6e-05,derived from synthetic central-case archive,Md_g_d = C_ug_L * K_m_d * gradient * area_m2 * 1e-3
