file,column,pandas_dtype,basis_column_if_available,is_basis_column
control_plane_cells.csv,y_max_m,int64,y_max_m_basis,no
control_plane_cells.csv,y_max_m_basis,object,,yes
control_plane_cells.csv,z_top_m_bgl,int64,z_top_m_bgl_basis,no
control_plane_cells.csv,z_top_m_bgl_basis,object,,yes
control_plane_cells.csv,z_bottom_m_bgl,int64,z_bottom_m_bgl_basis,no
control_plane_cells.csv,z_bottom_m_bgl_basis,object,,yes
control_plane_cells.csv,area_m2,int64,area_m2_basis,no
control_plane_cells.csv,area_m2_basis,object,,yes
control_plane_cells.csv,k_zone_id,object,k_zone_id_basis,no
control_plane_cells.csv,k_zone_id_basis,object,,yes
control_plane_cells.csv,gradient_normal_central,float64,gradient_normal_central_basis,no
control_plane_cells.csv,gradient_normal_central_basis,object,,yes
control_plane_cells.csv,PFOS_ug_L,float64,PFOS_ug_L_basis,no
control_plane_cells.csv,PFOS_ug_L_basis,object,,yes
control_plane_cells.csv,PFHxS_ug_L,float64,PFHxS_ug_L_basis,no
control_plane_cells.csv,PFHxS_ug_L_basis,object,,yes
control_plane_cells.csv,PFOA_ug_L,float64,PFOA_ug_L_basis,no
control_plane_cells.csv,PFOA_ug_L_basis,object,,yes
control_plane_cells.csv,PFBA_ug_L,float64,PFBA_ug_L_basis,no
control_plane_cells.csv,PFBA_ug_L_basis,object,,yes
control_plane_cells.csv,PFBS_ug_L,float64,PFBS_ug_L_basis,no
control_plane_cells.csv,PFBS_ug_L_basis,object,,yes
control_plane_cells.csv,FTS_6_2_ug_L,float64,FTS_6_2_ug_L_basis,no
control_plane_cells.csv,FTS_6_2_ug_L_basis,object,,yes
control_plane_cells.csv,note,object,,no
example_mass_discharge_results.csv,plane_id,object,,no
example_mass_discharge_results.csv,cell_id,object,,no
example_mass_discharge_results.csv,analyte,object,,no
example_mass_discharge_results.csv,q_m_d,float64,,no
example_mass_discharge_results.csv,area_m2,float64,,no
example_mass_discharge_results.csv,C_ug_L,float64,,no
example_mass_discharge_results.csv,Md_g_d,float64,,no
example_mass_discharge_results.csv,value_basis,object,,yes
example_mass_discharge_results.csv,formula,object,,no
receptor_flows.csv,receptor_id,object,receptor_id_basis,no
receptor_flows.csv,receptor_id_basis,object,,yes
receptor_flows.csv,receptor_type,object,receptor_type_basis,no
receptor_flows.csv,receptor_type_basis,object,,yes
receptor_flows.csv,linked_plane_or_node,object,linked_plane_or_node_basis,no
receptor_flows.csv,linked_plane_or_node_basis,object,,yes
receptor_flows.csv,Q_low_m3_d,float64,Q_low_m3_d_basis,no
receptor_flows.csv,Q_low_m3_d_basis,object,,yes
receptor_flows.csv,Q_central_m3_d,float64,Q_central_m3_d_basis,no
receptor_flows.csv,Q_central_m3_d_basis,object,,yes
receptor_flows.csv,Q_high_m3_d,float64,Q_high_m3_d_basis,no
receptor_flows.csv,Q_high_m3_d_basis,object,,yes
receptor_flows.csv,mixing_factor_low,float64,mixing_factor_low_basis,no
receptor_flows.csv,mixing_factor_low_basis,object,,yes
receptor_flows.csv,mixing_factor_central,float64,mixing_factor_central_basis,no
receptor_flows.csv,mixing_factor_central_basis,object,,yes
receptor_flows.csv,mixing_factor_high,float64,mixing_factor_high_basis,no
receptor_flows.csv,mixing_factor_high_basis,object,,yes
receptor_flows.csv,criterion_placeholder_PFOS_plus_PFHxS_ng_L,int64,criterion_placeholder_PFOS_plus_PFHxS_ng_L_basis,no
receptor_flows.csv,criterion_placeholder_PFOS_plus_PFHxS_ng_L_basis,object,,yes
receptor_flows.csv,note,object,,no
source_areas.csv,source_id,object,source_id_basis,no
source_areas.csv,source_id_basis,object,,yes
source_areas.csv,source_type,object,source_type_basis,no
source_areas.csv,source_type_basis,object,,yes
source_areas.csv,x_m,int64,x_m_basis,no
source_areas.csv,x_m_basis,object,,yes
source_areas.csv,y_m,int64,y_m_basis,no
source_areas.csv,y_m_basis,object,,yes
source_areas.csv,area_m2,int64,area_m2_basis,no
source_areas.csv,area_m2_basis,object,,yes
source_areas.csv,active_start_year,int64,active_start_year_basis,no
source_areas.csv,active_start_year_basis,object,,yes
source_areas.csv,active_end_year,int64,active_end_year_basis,no
source_areas.csv,active_end_year_basis,object,,yes
source_areas.csv,release_mode,object,release_mode_basis,no
source_areas.csv,release_mode_basis,object,,yes
source_areas.csv,relative_source_strength,object,relative_source_strength_basis,no
source_areas.csv,relative_source_strength_basis,object,,yes
source_areas.csv,vadose_memory_class,object,vadose_memory_class_basis,no
source_areas.csv,vadose_memory_class_basis,object,,yes
source_areas.csv,note,object,,no
surface_water_nodes.csv,node_id,object,node_id_basis,no
surface_water_nodes.csv,node_id_basis,object,,yes
surface_water_nodes.csv,node_type,object,node_type_basis,no
surface_water_nodes.csv,node_type_basis,object,,yes
surface_water_nodes.csv,x_m,int64,x_m_basis,no
surface_water_nodes.csv,x_m_basis,object,,yes
surface_water_nodes.csv,y_m,int64,y_m_basis,no
surface_water_nodes.csv,y_m_basis,object,,yes
surface_water_nodes.csv,flow_low_m3_d,int64,flow_low_m3_d_basis,no
surface_water_nodes.csv,flow_low_m3_d_basis,object,,yes
surface_water_nodes.csv,flow_central_m3_d,int64,flow_central_m3_d_basis,no
surface_water_nodes.csv,flow_central_m3_d_basis,object,,yes
surface_water_nodes.csv,flow_high_m3_d,int64,flow_high_m3_d_basis,no
surface_water_nodes.csv,flow_high_m3_d_basis,object,,yes
surface_water_nodes.csv,PFOS_ug_L,float64,PFOS_ug_L_basis,no
surface_water_nodes.csv,PFOS_ug_L_basis,object,,yes
surface_water_nodes.csv,PFHxS_ug_L,float64,PFHxS_ug_L_basis,no
surface_water_nodes.csv,PFHxS_ug_L_basis,object,,yes
surface_water_nodes.csv,PFOA_ug_L,float64,PFOA_ug_L_basis,no
surface_water_nodes.csv,PFOA_ug_L_basis,object,,yes
surface_water_nodes.csv,PFBA_ug_L,float64,PFBA_ug_L_basis,no
surface_water_nodes.csv,PFBA_ug_L_basis,object,,yes
surface_water_nodes.csv,PFBS_ug_L,float64,PFBS_ug_L_basis,no
surface_water_nodes.csv,PFBS_ug_L_basis,object,,yes
surface_water_nodes.csv,FTS_6_2_ug_L,float64,FTS_6_2_ug_L_basis,no
surface_water_nodes.csv,FTS_6_2_ug_L_basis,object,,yes
surface_water_nodes.csv,note,object,,no
wells.csv,well_id,object,well_id_basis,no
wells.csv,well_id_basis,object,,yes
wells.csv,role,object,role_basis,no
wells.csv,role_basis,object,,yes
wells.csv,x_m,int64,x_m_basis,no
wells.csv,x_m_basis,object,,yes
wells.csv,y_m,int64,y_m_basis,no
wells.csv,y_m_basis,object,,yes
wells.csv,screen_top_m_bgl,int64,screen_top_m_bgl_basis,no
wells.csv,screen_top_m_bgl_basis,object,,yes
wells.csv,screen_bottom_m_bgl,int64,screen_bottom_m_bgl_basis,no
wells.csv,screen_bottom_m_bgl_basis,object,,yes
wells.csv,k_zone_id,object,k_zone_id_basis,no
wells.csv,k_zone_id_basis,object,,yes
wells.csv,hydraulic_head_m_local,float64,hydraulic_head_m_local_basis,no
wells.csv,hydraulic_head_m_local_basis,object,,yes
wells.csv,PFOS_ug_L,float64,PFOS_ug_L_basis,no
wells.csv,PFOS_ug_L_basis,object,,yes
wells.csv,PFHxS_ug_L,float64,PFHxS_ug_L_basis,no
wells.csv,PFHxS_ug_L_basis,object,,yes
wells.csv,PFOA_ug_L,float64,PFOA_ug_L_basis,no
wells.csv,PFOA_ug_L_basis,object,,yes
wells.csv,PFBA_ug_L,float64,PFBA_ug_L_basis,no
wells.csv,PFBA_ug_L_basis,object,,yes
wells.csv,PFBS_ug_L,float64,PFBS_ug_L_basis,no
wells.csv,PFBS_ug_L_basis,object,,yes
wells.csv,FTS_6_2_ug_L,float64,FTS_6_2_ug_L_basis,no
wells.csv,FTS_6_2_ug_L_basis,object,,yes
wells.csv,scenario,object,scenario_basis,no
wells.csv,scenario_basis,object,,yes
wells.csv,note,object,,no
